ERROR [main] [ConfigIO] 2016-05-30 03:34:20,002 {null Nested exception: null
}ERROR [main] [ConfigIO] 2016-05-30 03:34:20,199 {null Nested exception: null
}ERROR [main] [ConfigIO] 2016-05-30 03:36:18,217 {null Nested exception: null
}ERROR [main] [ConfigIO] 2016-05-30 03:36:18,375 {null Nested exception: null
}ERROR [main] [ConfigIO] 2016-05-30 03:46:12,898 {Error on line -1 of document  : Premature end of file. Nested exception: Premature end of file.
}ERROR [main] [ConfigIO] 2016-05-30 03:46:13,025 {Error on line -1 of document  : Premature end of file. Nested exception: Premature end of file.
}ERROR [main] [ConfigIO] 2016-05-30 03:47:11,655 {Error on line -1 of document  : Premature end of file. Nested exception: Premature end of file.
}ERROR [main] [ConfigIO] 2016-05-30 03:47:11,790 {Error on line -1 of document  : Premature end of file. Nested exception: Premature end of file.
}ERROR [main] [ConfigIO] 2016-05-30 03:53:47,722 {[Ljava.lang.StackTraceElement;@110b9691
}ERROR [main] [ConfigIO] 2016-05-30 03:53:47,852 {[Ljava.lang.StackTraceElement;@54274d27
}ERROR [main] [ConfigIO] 2016-05-30 03:58:16,154 {Error on line -1 of document  : Premature end of file. Nested exception: Premature end of file.
}ERROR [main] [ConfigIO] 2016-05-30 03:58:16,286 {Error on line -1 of document  : Premature end of file. Nested exception: Premature end of file.
}ERROR [main] [ConfigIO] 2016-05-30 04:04:06,096 {no protocol:  Nested exception: no protocol:
}ERROR [main] [ConfigIO] 2016-05-30 04:04:06,231 {no protocol:  Nested exception: no protocol:
}ERROR [main] [ConfigIO] 2016-05-30 04:06:00,420 {Error on line -1 of document  : Premature end of file. Nested exception: Premature end of file.
}ERROR [main] [ConfigIO] 2016-05-30 04:06:00,561 {Error on line -1 of document  : Premature end of file. Nested exception: Premature end of file.
}INFO [main] [ConfigIO] 2016-05-30 04:06:40,885 {
}ERROR [main] [ConfigIO] 2016-05-30 04:06:41,342 {Error on line -1 of document  : Premature end of file. Nested exception: Premature end of file.
}INFO [main] [ConfigIO] 2016-05-30 04:06:41,460 {
}ERROR [main] [ConfigIO] 2016-05-30 04:06:41,468 {Error on line -1 of document  : Premature end of file. Nested exception: Premature end of file.
}INFO [main] [ConfigIO] 2016-05-30 04:07:53,973 {
}ERROR [main] [ConfigIO] 2016-05-30 04:07:54,427 {Error on line -1 of document  : Premature end of file. Nested exception: Premature end of file.
}INFO [main] [ConfigIO] 2016-05-30 04:07:54,572 {
}ERROR [main] [ConfigIO] 2016-05-30 04:07:54,578 {Error on line -1 of document  : Premature end of file. Nested exception: Premature end of file.
}INFO [main] [ConfigIO] 2016-05-30 04:09:25,142 {
}ERROR [main] [ConfigIO] 2016-05-30 04:09:25,565 {Error on line -1 of document  : Premature end of file. Nested exception: Premature end of file.
}INFO [main] [ConfigIO] 2016-05-30 04:09:25,684 {
}ERROR [main] [ConfigIO] 2016-05-30 04:09:25,693 {Error on line -1 of document  : Premature end of file. Nested exception: Premature end of file.
}INFO [main] [ConfigIO] 2016-05-30 04:10:48,881 {
}ERROR [main] [ConfigIO] 2016-05-30 04:10:49,377 {Error on line -1 of document  : Premature end of file. Nested exception: Premature end of file.
}INFO [main] [ConfigIO] 2016-05-30 04:10:49,512 {
}ERROR [main] [ConfigIO] 2016-05-30 04:10:49,520 {Error on line -1 of document  : Premature end of file. Nested exception: Premature end of file.
}INFO [main] [ConfigIO] 2016-05-30 04:12:19,668 {
}INFO [main] [ConfigIO] 2016-05-30 04:13:45,674 {
}ERROR [main] [ConfigIO] 2016-05-30 04:15:10,494 {file:\C:\Nutstore\project\JudgeAndPrint\out\production\JudgeAndPrint\judge_and_print.conf (文件名、目录名或卷标语法不正确。)
}ERROR [main] [ConfigIO] 2016-05-30 04:15:10,637 {file:\C:\Nutstore\project\JudgeAndPrint\out\production\JudgeAndPrint\judge_and_print.conf (文件名、目录名或卷标语法不正确。)
}ERROR [main] [ConfigIO] 2016-05-30 04:16:55,946 {file:\C:\Nutstore\project\JudgeAndPrint\out\production\JudgeAndPrint\judge_and_print.conf (文件名、目录名或卷标语法不正确。)
}ERROR [main] [ConfigIO] 2016-05-30 04:16:56,068 {file:\C:\Nutstore\project\JudgeAndPrint\out\production\JudgeAndPrint\judge_and_print.conf (文件名、目录名或卷标语法不正确。)
}ERROR [main] [ConfigIO] 2016-05-30 04:17:50,034 {file:\C:\Nutstore\project\JudgeAndPrint\out\production\JudgeAndPrint\judge_and_print.conf (文件名、目录名或卷标语法不正确。)
}ERROR [main] [ConfigIO] 2016-05-30 04:17:50,160 {file:\C:\Nutstore\project\JudgeAndPrint\out\production\JudgeAndPrint\judge_and_print.conf (文件名、目录名或卷标语法不正确。)
}ERROR [main] [ConfigIO] 2016-05-30 04:18:48,693 {file:\C:\Nutstore\project\JudgeAndPrint\out\production\JudgeAndPrint\judge_and_print.conf (文件名、目录名或卷标语法不正确。)
